No 1 : ./result/4.jpg
[0]882,239,931,299,0.819921
[1]281,253,321,305,0.811071
[2]474,234,512,284,0.809271
[3]188,259,228,312,0.794348
[4]645,268,683,316,0.793555
[5]114,276,154,327,0.786261
[6]729,286,768,335,0.782935
[7]386,233,424,284,0.777595
[8]565,241,602,287,0.761329
[9]802,281,846,332,0.743721
No 2 : ./result/3.jpg
[0]213,220,258,275,0.841863
[1]671,421,718,479,0.833135
[2]595,179,635,230,0.831640
[3]377,58,417,109,0.826269
[4]295,358,343,418,0.824438
[5]721,194,761,247,0.822607
[6]430,339,475,393,0.822210
[7]484,190,523,238,0.818334
[8]353,191,395,243,0.817053
[9]169,428,215,486,0.816625
[10]114,136,154,185,0.798010
[11]757,102,793,148,0.797369
[12]254,94,294,143,0.796423
[13]878,141,917,189,0.795935
[14]567,329,610,380,0.780768
[15]506,65,545,110,0.771613
[16]633,69,673,114,0.726815
No 3 : ./result/2.jpg
[0]845,157,885,209,0.825719
[1]587,334,623,377,0.822759
[2]521,350,555,395,0.806067
[3]592,216,628,260,0.801916
[4]736,184,773,227,0.796881
[5]542,181,575,221,0.793860
[6]341,223,375,265,0.788855
[7]629,388,664,433,0.787879
[8]256,206,289,248,0.785102
[9]369,161,401,199,0.784430
[10]484,164,516,205,0.778602
[11]737,366,778,418,0.768501
[12]663,173,698,217,0.768348
[13]382,213,412,256,0.766944
[14]426,360,460,403,0.762916
[15]603,166,635,206,0.760963
[16]514,204,543,242,0.756325
[17]172,196,208,239,0.752724
[18]302,192,335,233,0.715829
[19]262,162,294,201,0.710824
[20]428,210,459,245,0.707803
[21]459,200,486,233,0.705575
[22]213,189,241,225,0.705179
[23]675,205,709,249,0.592389
No 4 : ./result/1.jpg
[0]619,146,666,209,0.874058
[1]183,122,234,189,0.868687
[2]98,242,154,315,0.863102
[3]237,252,288,321,0.857213
[4]383,254,437,323,0.854680
[5]528,244,579,311,0.853093
[6]317,139,368,205,0.851872
[7]92,49,138,110,0.849767
[8]667,251,717,315,0.840947
[9]502,118,548,178,0.840184
[10]447,171,493,233,0.839513
[11]801,264,850,330,0.838994
[12]389,74,427,122,0.831914
[13]712,133,754,186,0.831212
[14]895,243,946,305,0.824316
[15]801,123,841,174,0.819494
[16]912,120,953,171,0.818212
[17]279,101,315,147,0.817205
[18]608,65,647,112,0.804693
[19]498,48,537,95,0.802374
[20]728,35,767,84,0.800207
[21]181,82,220,127,0.728371
